Title, Company, Location, Summary, URL, Day_posted
Ruby on Rails Team Lead,CivicPlus,remote,  Competitive pay and benefits including flexible location  hours  and time off. The Lead Software Engineer is responsible for reviewing and evaluating all team…,https://www.indeed.com/viewjob?jk=196c01ca4535c15f&fccid=81892c5e87060e37&vjs=3,30+ days ago
Embedded Electrical Engineer,Very,remote,  You will need expertise in electrical hardware design for embedded systems  including design ideation  schematic capture  PCB layout and design for…,https://www.indeed.com/viewjob?jk=e4ffcc0d92289ae7&fccid=9cf46a262840e26a&vjs=3,30+ days ago
Software Engineer,eSpark Learning,remote,  Collaboratively design and implement impactful new features and systems across our technology stack. Help refactor new and existing features in response to user…,https://www.indeed.com/viewjob?jk=c72d72298dc32655&fccid=7982eef8d1c8f555&vjs=3,30+ days ago
Software Engineer  Security,Harvest NYC,remote,  Our products support our customers through time tracking  reporting  and forecasting features. At Harvest  you’ll be working with a team of honest and…,https://www.indeed.com/viewjob?jk=34684b1eb0c1962a&fccid=74b857a2e363e1fb&vjs=3,30+ days ago
Software Engineering Manager,Pathrise,remote,  This is a hybrid role where ~50% of your time will be coding and ~50% managing ~2-3 direct reports. You’ll also work side-by-side with our CTO  your direct…,https://www.indeed.com/viewjob?jk=69173f14cc6fa59c&fccid=ae6e171391e978d5&vjs=3,30+ days ago
Senior DevOps Engineer,Brightside Health,remote,  Manage and improve our HIPAA compliant infrastructure. Work with key participants towards HITRUST certification. Production experience with Ruby on Rails.,https://www.indeed.com/viewjob?jk=35ecff80b6715607&fccid=bc2f44186a16a5de&vjs=3,30+ days ago
Lead Software Engineer  Platform (Remote),Vouch Insurance,remote,  GraphQL  TypeScript  NodeJS  Ruby on rails  PostgreSQL. Insurance... sounds slow  old-fashioned  and unexciting. Are proficient using Node  Typescript  or Ruby.,https://www.indeed.com/viewjob?jk=bfe93fe349e2b750&fccid=cb81fd77e0c1aeba&vjs=3,30+ days ago
Senior iOS Engineer,Scott’s Cheap Flights,remote,  Become familiar with our code base  code style  tech stack  development and deployment process  and our project management process. 401(k) with a 5% match.,https://www.indeed.com/viewjob?jk=7a29fabf79c15568&fccid=0f00575ebcb3d50e&vjs=3,30+ days ago
Senior Software Engineering Manager,Pathrise,remote,  This is a hybrid role where ~50% of your time will be coding and ~50% managing ~2-3 direct reports. You’ll also work side-by-side with our CTO  your direct…,https://www.indeed.com/viewjob?jk=87d8515beb816286&fccid=ae6e171391e978d5&vjs=3,30+ days ago
Ruby on Rails Developer - ReactJS and Elixir,TAA Solutions LLC,remote,  Ruby on rails  React.js  REST API’s. TAA Solutions  LLC is looking for a qualified Ruby on Rails Developer to support their client remotely.,,30+ days ago
Software Developer (Remote),Insurance Technologies,remote,  100% employer paid medical  dental  vision  life insurance  short-term disability  long-term disability insurance and parking. Ruby on Rails experience a plus.,,30+ days ago
Software Engineer,Navigating Cancer,remote,  At Navigating Cancer  our mission is to improve the lives of cancer patients and those who care for them. We enable oncology clinics to provide personalized …,https://www.indeed.com/viewjob?jk=cb3cfe828db81afc&fccid=73035bd99401b309&vjs=3,30+ days ago
Web Software Developer,Furnished Quarters,remote,  Furnished Quarters is the largest independently owned and operated supplier of global temporary housing  offering over 100 000 fully furnished apartments in…,https://www.indeed.com/viewjob?jk=c767defcbbe7b16b&fccid=c9fcea4af66bfb8c&vjs=3,30+ days ago
Software Developer (Remote),Insurance Technologies,remote,  100% employer paid medical  dental  vision  life insurance  short-term disability  long-term disability insurance and parking. Ruby on Rails experience a plus.,,30+ days ago
Web Software Developer,Furnished Quarters,remote,  As a member of the Furnished Quarters Technology team  the Web Software Developer is responsible for building  testing and implementing software that is used by…,https://www.indeed.com/viewjob?jk=c767defcbbe7b16b&fccid=c9fcea4af66bfb8c&vjs=3,30+ days ago
Senior Software Developer (Remote),Insurance Technologies,remote,  100% employer paid medical  dental  vision  life insurance  short-term disability  long-term disability insurance and parking.,,30+ days ago
Returnship: Software Engineer,Ookla,remote,  Upon completion of the 16-week program  all candidates will be evaluated for conversion to a full-time position! Wish to return to work after retirement.,https://www.indeed.com/viewjob?jk=fe150028be5339c2&fccid=514eed10e2a5c252&vjs=3,30+ days ago
Software Engineer,Arrive,remote,  Focusing on our core technical systems  you’ll be working on building out scalable APIs and services  complex pricing models  transaction processing  and…,https://www.indeed.com/viewjob?jk=f575d4ade924dea0&fccid=137ffff9131bb98c&vjs=3,30+ days ago
Software Engineer - Heart Services,Github,remote,  Discussing and collaboratively solving engineering problems with engineering collaborators in GitHub Issues and PRs  Slack  or Zoom.,https://www.indeed.com/viewjob?jk=6f326fa12c06431a&fccid=c594c442f5397e7b&vjs=3,30+ days ago
Staff Software Engineer - Database Reliability,Coinbase,remote,  Responsible for defining & implementing company wide datastore policies with a focus on reliability  throughput  scalability and security.,https://www.indeed.com/viewjob?jk=1dbded3a6bedbbca&fccid=d2c6abf8a785fc40&vjs=3,30+ days ago
Software Engineer II,CivicPlus,remote,  The Software Engineer II is responsible for analyzing  designing  developing and testing software solutions for the company’s products. NET  MVC  Web API  C#.,https://www.indeed.com/viewjob?jk=e2a0374076654c23&fccid=81892c5e87060e37&vjs=3,30+ days ago
Full-Stack Engineer (Mid-level  Senior  Staff),Notarize,remote,  Use Ruby on Rails (back-end)  React (front-end)  Postgres through AWS RDS  Heroku  and GraphQL. Collaborate cross-functionally with designers  developers  QA…,https://www.indeed.com/viewjob?jk=61afaa82bfa75784&fccid=3d784fdf81031ad7&vjs=3,30+ days ago
Software Engineer - Communities,Github,remote,  The Communities team is working on a series of products  a mixture of existing and new/experimental  that improve the Open Source experience for contributors…,https://www.indeed.com/viewjob?jk=edd28f75ccc2ed89&fccid=c594c442f5397e7b&vjs=3,30+ days ago
Senior Software Engineer - Kindful,Bloomerang,remote,  This person must have hands-on experience in the development and release processes of high-availability  high-scalability  high-performance  complex distributed…,https://www.indeed.com/viewjob?jk=d2c0cc124239bce3&fccid=33f19a2f1695c72a&vjs=3,30+ days ago
Principal Software Engineer,Orthogonal,remote,  The solutions we are working on include Software as a Medical Device (SaMD)  Digital Therapeutics (DTx)  and other types of connected medical devices for rapid…,https://www.indeed.com/viewjob?jk=ba5d8811e3ab58a9&fccid=823f90c00241f54f&vjs=3,30+ days ago
Senior Software Engineer - Kindful,Bloomerang,remote,  This person must have hands-on experience in the development and release processes of high-availability  high-scalability  high-performance  complex distributed…,https://www.indeed.com/viewjob?jk=d2c0cc124239bce3&fccid=33f19a2f1695c72a&vjs=3,30+ days ago
Senior Software Engineer - Database Reliability,Coinbase,remote,  Responsible for defining & implementing company wide datastore policies with a focus on reliability  throughput  scalability and security.,https://www.indeed.com/viewjob?jk=d3fe24d074112430&fccid=d2c6abf8a785fc40&vjs=3,30+ days ago
Back-End Software Engineer (Mid-level  Senior  Staff),Notarize,remote,  Some of the current projects you might be involved in: improving the system to better match supply and demand of signers and notaries on our platform (similar…,https://www.indeed.com/viewjob?jk=b82886db5bb48320&fccid=3d784fdf81031ad7&vjs=3,30+ days ago
Senior Software Engineer - Heart Services,Github,remote,  Discussing and collaboratively solving engineering problems with engineering collaborators in GitHub Issues and PRs  Slack  or Zoom.,https://www.indeed.com/viewjob?jk=de807b708421a5da&fccid=c594c442f5397e7b&vjs=3,30+ days ago
Android Engineer (Mid-level  Senior  Staff),Notarize,remote,  As an Android Developer at Notarize  you'll use Kotlin  with “Clean Architecture” methodology to build the best user experience for signers using the mobile app…,https://www.indeed.com/viewjob?jk=a70c9ab50dd82fe0&fccid=3d784fdf81031ad7&vjs=3,30+ days ago
Senior Software Engineer,Kickstarter.com,remote,  We're a cross-functional team of engineers  designers  data analysts  and community specialists working collaboratively using iterative  data-driven  and…,https://www.indeed.com/viewjob?jk=7557a45a0c31245e&fccid=bb0aec68dcf6568e&vjs=3,30+ days ago
Software Engineer,Malouf,remote,  Our digital platforms bring together ongoing data from various indicators of client well-being  progress  and overall outcomes.,https://www.indeed.com/viewjob?jk=73aea5fdba0c2fb0&fccid=d1b91db455b06a70&vjs=3,30+ days ago
Apprentice Software Developer,LaunchPad Lab,remote,  After the apprenticeship  you will be eligible for the position of Software Developer. Experience with Ruby on Rails or JavaScript.,https://www.indeed.com/viewjob?jk=e20984083b7ec150&fccid=f06a5c33c38c4f29&vjs=3,30+ days ago
Senior Frontend Software Engineer - Browser Extension,Indeed,remote,  Build frameworks to allow the browser extension to be context-aware on non-Indeed products to suggest Indeed product features.,https://www.indeed.com/viewjob?jk=63093cbfbde3f1de&fccid=d6ef41e202aa2c0b&vjs=3,30+ days ago
Software Developer,CoverMyMeds,remote,  Ruby on Rails  Elixir  Phoenix  Python  PHP  React  VueJS  AngularJS  MSSQL  PostgreSQL  Git  Elasticsearch  Capistrano  Redis  Sidekiq  Docker  Terraform …,https://www.indeed.com/viewjob?jk=9cda4e341da773ad&fccid=ccecd557044fc03d&vjs=3,30+ days ago
Senior Software Engineer (Ruby),Firehydrant,remote,  We’re looking for people with a strong background or interest in building developer-focused products  care deeply about security and customer trust  and are…,,30+ days ago
Senior Software Engineer,CyberArk Software,remote,  We discuss  plan  design  and build in the open. Contributions from community members are solicited  welcomed  and reviewed. APIs and SDKs for the above.,,30+ days ago
Senior Ruby Software Developer,Kalkomey Enterprises  LLC,remote,  Additionally  Kalkomey’s agency management solutions enable state agencies to drive greater operational efficiencies of key workflows from licensing and…,https://www.indeed.com/viewjob?jk=74ffea8b45e4d9b1&fccid=2497bb61f3d36c8d&vjs=3,30+ days ago
Software Engineer,Open Up Resources,remote,  Open Up Resources is a publisher of high-quality open educational resources in core content areas  with a vision of providing teachers with the tools to engage…,https://www.indeed.com/viewjob?jk=2815c78a3d050949&fccid=dbf615cfbc1db5dd&vjs=3,30+ days ago
Full Stack Engineer- Rails & React,SecZetta,remote,  SecZetta's products provide an efficient  flexible  and secure identity solution to help companies manage non-employees and their relationships within those…,https://www.indeed.com/viewjob?jk=9ac1cceba41149d8&fccid=453f77634382c298&vjs=3,30+ days ago
Lead Software Engineer  Mobile,Wiser Solutions,remote,  If you have a passion for Mobile app design  full stack systems thinking  crowd sourcing  and integration challenges  this may be the role for you.,https://www.indeed.com/viewjob?jk=a1b6c6fccd5a17d8&fccid=da7e1600bc3a6336&vjs=3,30+ days ago
Sr. Software Developer,CyberGrants,remote,  Develops multi-tiered product solutions and web services for our SaaS applications integrating front-end  server-side  and database code.,https://www.indeed.com/viewjob?jk=007ffe103524a879&fccid=26c467b9558c9266&vjs=3,30+ days ago
Software Engineer,GetWellNetwork  Inc.,remote,  You will create industry-leading solutions that meet the highest standards of security  quality  and user experience.,https://www.indeed.com/viewjob?jk=a7c530224438dff8&fccid=af124d6b8bed6248&vjs=3,30+ days ago
Senior Full Stack Engineer,Spring Health,remote,  Design and expand the capabilities of our API (built with Ruby on Rails) which powers several web apps and a mobile app  all of which are used to to screen …,https://www.indeed.com/viewjob?jk=2d3b92686d4f340b&fccid=675ee465d3812bad&vjs=3,30+ days ago
Senior Software Security Engineer,Brightside Health,remote,  As a Software Security Engineer at Brightside  you'll be responsible for maintaining the security of our HIPAA compliant ecosystem  including systems  networks …,https://www.indeed.com/viewjob?jk=79acb44a2330fac0&fccid=bc2f44186a16a5de&vjs=3,30+ days ago
Senior Software Engineer,GetWellNetwork  Inc.,remote,  You will work in small teams and collaborate closely with product designers to build new products and drive new business in a fast-paced  agile fashion.,https://www.indeed.com/viewjob?jk=87563e04ef708d94&fccid=af124d6b8bed6248&vjs=3,30+ days ago
IT Senior Software Developer II,CohnReznick,remote,  A qualified candidate is an expert in C#  HTML5/CSS3  and other programming languages using agile development methodologies with deep knowledge of the technical…,https://www.indeed.com/viewjob?jk=497c996fc62d6c9d&fccid=f0bade0760e83581&vjs=3,30+ days ago
Software Developer,Floorplan Xpress,remote,  Floorplan Xpress provides inventory financing for independently owned car dealerships across the country. A qualified candidate will have excellent technology…,https://www.indeed.com/viewjob?jk=d1efca33fe9df4ea&fccid=8e4b0ef0022369d6&vjs=3,30+ days ago
Senior Software Engineer - Marketplace Integrations,Indeed,remote,  This will include building and consuming APIs  data pipelines  and management tools to connect the dots within Indeed’s partner ecosystem.,https://www.indeed.com/viewjob?jk=e6f9cfb8a312ed31&fccid=d6ef41e202aa2c0b&vjs=3,30+ days ago
Experienced React Developer,Tanooki Labs,remote,  TL;DR - Flexible freelance and full-time work on amazing products. We work 35 hours per week  support flexible schedules  are family friendly  and work with…,https://www.indeed.com/viewjob?jk=1b9f1825d3ac1f7a&fccid=b0bf4a191ebdbcbf&vjs=3,30+ days ago
Senior Software Engineer - Ruby,Icario,remote,  In this position  you will have a direct impact on our success by helping to build the tools that get the right message to the right person at the right time to…,https://www.indeed.com/viewjob?jk=7df43a516886ce74&fccid=b93dea172da54ceb&vjs=3,30+ days ago
Experienced Software Engineer (React & React Native),Echobind,remote,  Expand upon your skills as a full stack developer working on a wide variety of client and internal projects. Iterate on internal development best practices and…,https://www.indeed.com/viewjob?jk=2b7782828761ebe4&fccid=5a5ec369d1cebd60&vjs=3,30+ days ago
Software Engineer,Kaplan,remote,  The Software Engineer supports the overall maintenance and improvement of the Metis website and many of the Metis apps  platforms  and systems used to operate…,https://www.indeed.com/viewjob?jk=c852ff0345efa0f6&fccid=4ffdd90de5b0ef8f&vjs=3,30+ days ago
Software Engineer  Intermediate (Remote),VitalSource,remote,  Works under direct supervision to perform development and maintenance of server applications. Resolves issues with software and responds to suggestions for…,https://www.indeed.com/viewjob?jk=f5756a7cf26457de&fccid=aa453a473c9e7c11&vjs=3,30+ days ago
Software Engineer,Instructure,remote,  Much of our work is open source  including our primary product (Canvas). Experience (and interest) in different languages and frameworks.,https://www.indeed.com/viewjob?jk=335565a671c15e80&fccid=9e4823fe31100df5&vjs=3,30+ days ago
Senior Full Stack Web Developer,Bridge,remote,  On a day to day basis  you’ll be expected to write clean Ruby and React code and tests. Experience leading development of multiple features  including both…,https://www.indeed.com/viewjob?jk=22c5431d30c72ea7&fccid=0788493daa8b6896&vjs=3,30+ days ago
Senior Software Engineer,Herrmann,remote,  You have 5-7 years Ruby on Rails experience  with demonstrated experience using rails to create API’s for front-end heavy applications.,https://www.indeed.com/viewjob?jk=5917fe26c9071d38&fccid=fcb60ec14f59b909&vjs=3,30+ days ago
Senior Full Stack Engineer - RT,KLM Careers,remote,  Create clean  maintainable  and scalable  and well-tested code. Create elegant web-based user interfaces and reporting dashboards.,https://www.indeed.com/viewjob?jk=a0f101fbda4a5e09&fccid=f42bbfc261ca3e64&vjs=3,30+ days ago
Sr. Front-End Engineer,GovernmentCIO LLC,remote,  Rapidly deliver front-end changes to a modern  public-facing web stack. Collaborate on publicly-visible open source solutions using development practices such…,https://www.indeed.com/viewjob?jk=ad53fd3fa05e3333&fccid=9e8fa8250b6bf7e7&vjs=3,30+ days ago
Senior Back End Software Engineer (Remote),Copper,remote,  It’s the only CRM that is 100% focused on helping clients build the strongest possible business relationships that will win them customers for life.,https://www.indeed.com/viewjob?jk=2ee87b1b707ab984&fccid=e65ed7a11db4ba1f&vjs=3,30+ days ago
Software Engineer III,Stats Perform,remote,  Stats Perform provides analysis  insights and predictions  video and data feeds to sports media and broadcasters  technology companies  global brands …,https://www.indeed.com/viewjob?jk=487a5e0c670bc523&fccid=739e8ef093113128&vjs=3,30+ days ago
Ruby on Rails Engineer,Big Nerd Ranch,remote,  When you need an iOS  Android or web app to solve a problem  grow your business or engage your employees  partnering with us is a no-brainer.,https://www.indeed.com/viewjob?jk=3c607e5700a9f957&fccid=9a1aaaa20aeba312&vjs=3,30+ days ago
Full Stack Software Developer,LaunchPad Lab,remote,  We're looking for an experienced full stack software developer with a strong sense for building digital products. 401(k) with up to 4% company match.,https://www.indeed.com/viewjob?jk=62c115b78cd3989e&fccid=f06a5c33c38c4f29&vjs=3,30+ days ago
Senior Software Developer (Full -time  Senior / Lead / Princ...,Substantial,remote,  As a senior-level Developer  you'll be responsible for the successful delivery of digital products. You handle it with ease through solid time management skills…,https://www.indeed.com/viewjob?jk=32c6cee68b35b541&fccid=5c64055b1a856946&vjs=3,30+ days ago
Senior Software Engineer - Elixir,Very,remote,  This requires an interest in API engineering  DevOps  SQL and NoSQL databases  cloud infrastructure and everything in between...,https://www.indeed.com/viewjob?jk=721db4a51c55cc9b&fccid=9cf46a262840e26a&vjs=3,30+ days ago
Ruby Developer,Moove-it,remote,  The challenge involves analyzing  designing and coding new features. Contribute to the complete software life cycle  including writing clean code  robust tests …,https://www.indeed.com/viewjob?jk=e345d6214a1ee3ff&fccid=9c40afbe5c7f3e78&vjs=3,30+ days ago
Software Developer (Intermediate),Vidyard,remote,  Backed by powerful video analytics  security features  and integrations with other business tools  Vidyard makes video easy for marketing  sales  support  and…,https://www.indeed.com/viewjob?jk=7a0af3a4f1d1f010&fccid=481922bac21917d5&vjs=3,30+ days ago
Senior Frontend Engineer,Rhino New York,remote,  Help build new landing pages and marketing content. Help optimize load times to keep all pages snappy. Build extensible  beautiful user interfaces and pages.,https://www.indeed.com/viewjob?jk=3cd83809cc64e2b9&fccid=74869e36bf8410c1&vjs=3,30+ days ago
Senior Full Stack Software Engineer - Trading Technology (Py...,kraken,remote,  Develop and maintain core backend framework and web applications supporting Kraken’s institutional clients. Construct dynamically scalable platforms capable of…,https://www.indeed.com/viewjob?jk=e8bcd2e72f15b7bb&fccid=66d394411dd2efad&vjs=3,30+ days ago
Sr. Software Engineer  Rails,Tuft & Needle,remote,  Proficiency with Ruby on Rails. Experience with building eCommerce applications. Expertise working with Content Management Systems (we use Prismic).,https://www.indeed.com/viewjob?jk=0dd19fe1c4c87ecd&fccid=556241652ce1374b&vjs=3,30+ days ago
Manager of Engineering (Remote),XSELL Technologies,remote,  Our unique business model brings together proprietary cloud-based natural language processing with deep human expertise to empower the best real-time responses…,https://www.indeed.com/viewjob?jk=eef002386bdad9a8&fccid=21e825c429eeb178&vjs=3,30+ days ago
Senior Software Support Engineer,Tech Dynamism,remote,  Our Senior Software Support Engineer is responsible for the maintenance and minor enhancements of all of our applications and integrations that we have…,https://www.indeed.com/viewjob?jk=e3803f20923fb209&fccid=5de0efd79e50dd4c&vjs=3,30+ days ago
(Senior) Software Engineer  Test,Sensor Tower,remote,  We serve independent and Fortune 500 customers alike  spanning the mobile games  travel & hospitality  music  finance  and broadcast entertainment markets.,https://www.indeed.com/viewjob?jk=d30c43534c4f0a07&fccid=c659788ec6cc356e&vjs=3,30+ days ago
Software Developer (Senior),Vidyard,remote,  Backed by powerful video analytics  security features  and integrations with other business tools  Vidyard makes video easy for marketing  sales  support  and…,https://www.indeed.com/viewjob?jk=5cb763a749afc914&fccid=481922bac21917d5&vjs=3,30+ days ago
Technical Specialist – I - Ruby On Rails,CitiusTech,remote,  Mandatory Skills - PHP  Python  Ruby  Java  JavaScript  AngularJS  Knockout JS  RESTful and SOAP  web services  MariaDB  HTML5/ CSS3.,https://www.indeed.com/viewjob?jk=633901b013e82d93&fccid=d7ffd11f502090e7&vjs=3,30+ days ago
Senior Developer: Ruby on Rails,Le Fant LLC,remote,  We offer 40lK matching  customized health plans  dental and vision insurance  life insurance  short and long term disability coverage  an incentives program to…,https://www.indeed.com/viewjob?jk=317592aa01738762&fccid=705a78f827c25d43&vjs=3,30+ days ago
Senior Ruby on Rails Developer,Planet Argon,remote,  We get to build lasting partnerships with our clients and have some influence on how they're planning for the life of their web applications.,https://www.indeed.com/viewjob?jk=1698d3e23978f24e&fccid=281fd257501a50db&vjs=3,30+ days ago
Software Engineer,Icario,remote,  In this position  you will have a direct impact on our success by helping to build the tools that get the right message to the right person at the right time to…,https://www.indeed.com/viewjob?jk=8cdc635382c7a0b0&fccid=b93dea172da54ceb&vjs=3,30+ days ago
Staff Backend Engineer  Product,Project Ronin,remote,  You have expert knowledge of modern web applications and have worked with languages and frameworks such as Ruby on Rails (RoR) or Elixir/Phoenix.,https://www.indeed.com/viewjob?jk=4c1ed8350d6ada61&fccid=8df799fa44654573&vjs=3,30+ days ago
Full Stack Engineer (Remote),SecureTalent Partners,remote,  They help them become heroes within their organizations by giving them the tools and expertise they need to unify their enterprises.,https://www.indeed.com/viewjob?jk=8df5883bc1f150e7&fccid=4d518d97be8c59a8&vjs=3,30+ days ago
Senior Application Engineer,BiggerPockets,remote,  Senior Application Engineers at BiggerPockets spend their time building software that allows our users to achieve their goals  owning the design and development…,https://www.indeed.com/viewjob?jk=d1f003fdbb7edf59&fccid=f41cb2e82021606e&vjs=3,30+ days ago
Senior Software Engineer,Better Place Forests,remote,  We are responsible for building a robust custom platform that enables customers to fully plan their final chapter. 1 + year/s of experience working with React.,https://www.indeed.com/viewjob?jk=cd74ef49f4337278&fccid=c63535a93cb2c9ec&vjs=3,30+ days ago
Senior Software Engineer - Back-end,TeamSnap  Inc.,remote,  Defining  designing and implementing custom sponsored experiences that are a win-win for our customers and brands. Exposure and interest in backend development.,https://www.indeed.com/viewjob?jk=624b83e12565121f&fccid=7b40741045374286&vjs=3,30+ days ago
Director of Engineering,Wiser Solutions,remote,  Wiser collects and analyzes online and in-store data with unmatched speed  scale and accuracy. In this role you will lead five delivery teams driving projects…,https://www.indeed.com/viewjob?jk=85306195c92c9329&fccid=da7e1600bc3a6336&vjs=3,30+ days ago
Senior Backend Engineer,Opal,remote,  Collaborating closely with Design  Product Management  and Engineering teams  this role works with others to determine what to build and how to build it.,https://www.indeed.com/viewjob?jk=22f6b707a8d0445d&fccid=bfbc27ad1d05ade8&vjs=3,30+ days ago
Senior Full-Stack Software Engineer,SquareTwo  Inc.,remote,  5+ years of experience building large scale  high-quality  test-driven software applications. Excellent knowledge and experience with Ruby on Rails/Elixir/PHP…,https://www.indeed.com/viewjob?jk=aa4782fca514f1b2&fccid=ebec78d2ef5bee4d&vjs=3,30+ days ago
Remote Sr. Ruby On Rails Engineer,Eezy,remote,  Writing clean  well thought out and reliable code. You'll work on big projects as well as small maintenance tasks that support our marketing efforts.,https://www.indeed.com/viewjob?jk=7914f66d3626edcc&fccid=7097ae33341b912c&vjs=3,30+ days ago
Fullstack Engineer (Remote),SnackNation,remote,  Candidates must be authorized to work in the United States to be considered for this role. Recommend and execute technical decisions on a multi-functional …,https://www.indeed.com/viewjob?jk=3d15569f1ba7c23a&fccid=c5a90c10fbbab9ec&vjs=3,30+ days ago
Senior Software Engineer,eSpark Learning,remote,  Lead the team in the design and implementation of impactful and substantial new features and systems across our technology stack.,https://www.indeed.com/viewjob?jk=e47c4071faf0a328&fccid=7982eef8d1c8f555&vjs=3,30+ days ago
Software Engineer,Notarize,remote,  We're looking for talented Software Engineers who want to start or grow their careers with a rapidly-scaling tech company. Ship code in weekly sprints.,https://www.indeed.com/viewjob?jk=f7a66ca4bf2f2207&fccid=3d784fdf81031ad7&vjs=3,30+ days ago
Senior Software Engineer,eSpark Learning,remote,  Lead the team in the design and implementation of impactful and substantial new features and systems across our technology stack.,https://www.indeed.com/viewjob?jk=e47c4071faf0a328&fccid=7982eef8d1c8f555&vjs=3,30+ days ago
Senior Engineer (Backend),Rainforest QA,remote,  Work on numerous support services (including our work scheduler and VM management system - both of which manage hundreds of thousands of requests a day) written…,https://www.indeed.com/viewjob?jk=5a8ad06ef4046ce8&fccid=15c238f5513f1151&vjs=3,30+ days ago
Sr. Engineer  Ruby on Rails,Gannett,remote,  As a Sr. Engineer-Ruby on Rails  you will be responsible for engineering and supporting our software systems end-to-end  from excellent user experiences to full…,https://www.indeed.com/viewjob?jk=6c40a870b3604d48&fccid=1230acb7e56c6df5&vjs=3,30+ days ago
Jr. Front-End Developer,Pledge,remote,  As a Jr. Front-End Developer at Pledge  you’ll use a variety of programming languages to create user-friendly web pages. Building reusable code for future use.,https://www.indeed.com/viewjob?jk=a550992059a6fc13&fccid=ad743c803acb1fff&vjs=3,30+ days ago
Software Developer,Kalkomey Enterprises  LLC,remote,  Additionally  Kalkomey’s agency management solutions enable state agencies to drive greater operational efficiencies of key workflows from licensing and…,https://www.indeed.com/viewjob?jk=9b71d5540cc9a7cf&fccid=2497bb61f3d36c8d&vjs=3,30+ days ago
DevOps Engineer,CirrusMD,remote,  The salary Range is 110-135K depending on experience. This position can sit remotely in the U.S. You will design and manage scalable  resilient  and secure…,https://www.indeed.com/viewjob?jk=748f16436847a51f&fccid=eaffc346372bd744&vjs=3,30+ days ago
Software Engineer,Opendoor,remote,  As a Software Engineer  you will design and develop platforms  services and tools to tackle a variety of challenges related to price optimization  inventory…,https://www.indeed.com/viewjob?jk=51fd7f75e760fb85&fccid=7af474979a2ce5fb&vjs=3,30+ days ago
Software Engineer,Mystery.org,remote,  From cross-browser CSS fixes to database tuning  you’re prepared to work and learn up and down the stack.,https://www.indeed.com/viewjob?jk=63a5b7ebf37834a6&fccid=d862d0b396a64c3b&vjs=3,30+ days ago
Software Engineer  Growth,Mystery.org,remote,  While previous experience with experimentation techniques (i.e. A/B testing) is a plus  it is by no means a requirement — overall growth interest and curiosity…,https://www.indeed.com/viewjob?jk=4becc1994f0d4015&fccid=d862d0b396a64c3b&vjs=3,30+ days ago
Lead Ruby on Rails Engineer,Aha Labs Inc.,remote,  We are centered around North American time zones so we can collaborate during the workday. We also run a Node.js webserver to support collaborative editing and…,https://www.indeed.com/viewjob?jk=c4f18caabf4f6d26&fccid=310832c01f500556&vjs=3,30+ days ago
Software Engineer - Core Products,Github,remote,  We work in a department-wide squad system where folks can work on any of those product areas. The Coding department is the heart of GitHub  focusing on new and…,https://www.indeed.com/viewjob?jk=47fd068082e74422&fccid=c594c442f5397e7b&vjs=3,30+ days ago
Senior Software Engineer - Remote,Kin Insurance,remote,  In your role  you will have the opportunity to work on more complex engineering problems while collaborating with peers in Dev  Product  QA  and other cross…,https://www.indeed.com/viewjob?jk=3796761fb745ad5a&fccid=0910ded94ff651cf&vjs=3,30+ days ago
Senior Software Engineer  Team Lead  Full-Stack,BuildZoom,remote,  We guide clients with medium-to-large residential and light commercial projects through the construction process and help them turn vision into physical reality…,,30+ days ago
PROGRAMMER/DEVELOPER,Spathe Systems  LLC,remote,  Spathe Systems is seeking a Programmer/Developer for Cloud CITI (Computing and I.T. Able to successfully pass a criminal and/or financial background check.,https://www.indeed.com/viewjob?jk=0624538751032cb5&fccid=677ff00e12a454d2&vjs=3,30+ days ago
Senior Software Engineer  Team Lead  Full-Stack,BuildZoom,remote,  We guide clients with medium-to-large residential and light commercial projects through the construction process and help them turn vision into physical reality…,,30+ days ago
Senior Software Engineer - Core Products,Github,remote,  We work in a department-wide squad system where folks can work on any of those product areas. The Coding department is the heart of GitHub  focusing on new and…,https://www.indeed.com/viewjob?jk=e5a7911579c33cf5&fccid=c594c442f5397e7b&vjs=3,30+ days ago
Junior Rails Engineer,Fund That Flip,remote,  At their core  the technology stacks are built on Ruby on Rails  “The Rails Way.”. The Junior Rails Engineer is responsible for partnering with the product and…,https://www.indeed.com/viewjob?jk=e33186df49e0efb2&fccid=44a47d65bbbb1a72&vjs=3,30+ days ago
Software Engineer - Backend,Gridwise,remote,  Support data science/machine learning initiatives with data processing and model training infrastructure. Collaborate with engineering  product and business…,https://www.indeed.com/viewjob?jk=3505f9808ee42f69&fccid=01396de956723767&vjs=3,30+ days ago
Rails Engineer,Fund That Flip,remote,  Experience refactoring large monolithic rails applications and models. At their core  the technology stacks are built on Ruby on Rails  “The Rails Way.”.,https://www.indeed.com/viewjob?jk=f43c841bf2a7942b&fccid=44a47d65bbbb1a72&vjs=3,30+ days ago
Senior Full Stack Engineer (Ruby on Rails),Pledge,remote,  At least 5 years of software development experience. Demonstrated proficiency in Ruby  Rails  JavaScript (React).,https://www.indeed.com/viewjob?jk=45840ca79e6bc22f&fccid=ad743c803acb1fff&vjs=3,30+ days ago
